commodity,imports_million_usd_2023,,,,,,
"Mineral fuels, mineral oils",219053.65,,,,,,
Electrical machinery & equipment,79300.69,,,,,,
"Gems, precious stones & jewelry",78473.55,,,,,,
"Nuclear reactors, boilers, machinery",57408.94,,,,,,
Organic chemicals,26745.09,,,,,,
Plastic and articles thereof,21830.6,,,,,,
Iron and steel,18645.68,,,,,,
Animal/vegetable fats and oils,15059.47,,,,,,
"Optical, photographic, measuring instruments",12922.25,,,,,,
"Aircraft, spacecraft and parts",12697.54,,,,,,
